node_id	cluster_id	degree
1193	bucket_1	2
1194	bucket_0	6
1195	bucket_6	5
1196	bucket_1	1
1197	bucket_1	3
1198	bucket_1	2
1199	bucket_7	6
1200	bucket_1	2
1201	bucket_1	2
1202	bucket_1	2
1203	bucket_1	2
1204	bucket_1	2
1205	bucket_12	4
1206	bucket_8	4
1207	bucket_16	3
1208	bucket_6	5
1209	bucket_1	2
1210	bucket_1	2
1211	bucket_1	1
1212	bucket_8	4
1213	bucket_1	4
1214	bucket_1	1
1215	bucket_10	9
1216	bucket_1	3
1217	bucket_1	2
1218	bucket_1	2
1219	bucket_1	2
1220	bucket_1	2
1221	bucket_7	6
1222	bucket_1	2
1223	bucket_1	3
1224	bucket_6	5
1225	bucket_1	1
1226	bucket_0	6
1227	bucket_1	2
1228	bucket_7	6
1229	bucket_1	2
1230	bucket_1	2
1231	bucket_1	2
1232	bucket_1	2
1233	bucket_1	2
1234	bucket_12	4
1235	bucket_8	4
1236	bucket_16	3
1237	bucket_6	5
1238	bucket_1	2
1239	bucket_1	2
1240	bucket_1	1
1241	bucket_8	4
1242	bucket_1	4
1243	bucket_1	1
1244	bucket_10	9
1245	bucket_1	3
1246	bucket_1	2
1247	bucket_1	2
1248	bucket_1	2
1249	bucket_1	2
1250	bucket_7	6
1251	bucket_1	2
1252	bucket_1	3
1253	bucket_6	5
1254	bucket_1	1
1255	bucket_0	6
1256	bucket_1	2
1257	bucket_7	6
1258	bucket_1	2
1259	bucket_1	2
1260	bucket_1	2
1261	bucket_1	2
1262	bucket_1	2
1263	bucket_12	4
1264	bucket_8	4
1265	bucket_16	3
1266	bucket_6	5
1267	bucket_1	2
1268	bucket_1	2
1269	bucket_1	1
1270	bucket_8	4
1271	bucket_1	4
1272	bucket_1	1
1273	bucket_10	9
1274	bucket_0	4
1275	bucket_1	2
1276	bucket_1	2
1277	bucket_1	2
1278	bucket_1	2
1279	bucket_7	6
1280	bucket_1	2
1281	bucket_1	3
1282	bucket_6	5
1283	bucket_1	1
1284	bucket_0	6
1285	bucket_1	2
1286	bucket_7	6
1287	bucket_1	2
1288	bucket_1	2
1289	bucket_1	2
1290	bucket_1	2
1291	bucket_1	2
1292	bucket_12	4
1293	bucket_8	4
1294	bucket_16	3
1295	bucket_6	5
1296	bucket_1	2
1297	bucket_1	2
1298	bucket_1	1
1299	bucket_8	4
1300	bucket_1	4
1301	bucket_1	1
1302	bucket_10	9
1303	bucket_1	3
1304	bucket_1	2
1305	bucket_1	2
1306	bucket_1	2
1307	bucket_1	2
1308	bucket_7	6
1309	bucket_1	2
1310	bucket_1	3
1311	bucket_6	5
1312	bucket_1	1
1313	bucket_1	3
1314	bucket_1	2
1315	bucket_7	6
1316	bucket_1	2
1317	bucket_1	2
1318	bucket_1	2
1319	bucket_1	2
1320	bucket_1	2
1321	bucket_12	4
1322	bucket_8	4
1323	bucket_16	3
1324	bucket_6	5
1325	bucket_1	2
1326	bucket_1	2
1327	bucket_1	1
1328	bucket_8	4
1329	bucket_1	4
1330	bucket_1	1
1331	bucket_10	9
1332	bucket_1	3
1333	bucket_1	2
1334	bucket_1	2
1335	bucket_1	2
1336	bucket_1	2
1337	bucket_7	6
1338	bucket_1	2
1339	bucket_1	3
1340	bucket_6	5
1341	bucket_1	1
1342	bucket_3	6
1343	bucket_1	2
1344	bucket_7	6
1345	bucket_1	2
1346	bucket_1	2
1347	bucket_1	2
1348	bucket_1	2
1349	bucket_1	2
1350	bucket_12	4
1351	bucket_8	4
1352	bucket_16	3
1353	bucket_6	5
1354	bucket_1	2
1355	bucket_1	2
1356	bucket_1	1
